minute,elapsed_seconds,games_played,steps_done,best_score,avg_score_recent,last_score,last_lines,loss
1,60,1264,23472,160,0.0,0,0,"A:-0.000,C:0.000"
2,120,2171,47778,800,200.0,200,5,"A:-8.110,C:25187.365"
3,180,3023,72164,800,13.3333,40,1,"A:-342.042,C:5576.174"
4,240,3726,96566,1280,323.3333,240,6,"A:-478.219,C:52721.711"
5,300,4287,121128,2840,171.4286,500,12,"A:-244.573,C:82268.219"
6,360,4795,145877,3840,252.0,940,22,"A:-1510.152,C:206323.547"
7,420,5221,170672,3840,2640.0,2640,64,"A:-698.825,C:461524.750"
8,480,5523,195594,10360,126.6667,0,0,"A:-13.695,C:133627.625"
9,540,5816,220539,10360,650.0,1140,19,"A:-2178.881,C:861603.188"
10,600,6134,245232,10360,1215.0,1860,19,"A:-1003.449,C:674887.250"
11,660,6394,270007,17440,1595.0,2140,21,"A:-3323.339,C:1273339.000"
12,720,6635,295155,27840,4168.0,13860,242,"A:-4528.203,C:1779986.250"
13,780,6889,320055,27840,1984.4444,6920,122,"A:-274.427,C:914455.625"
14,840,7107,344729,27840,3542.8571,7500,108,"A:-101.686,C:2898222.000"
15,900,7323,369526,27840,2273.3333,380,5,"A:-59.974,C:2173291.000"
16,960,7541,394280,27840,0.0,0,0,"A:-131.401,C:1940621.125"
17,1020,7743,418917,27840,6193.3333,11280,137,"A:-68.547,C:3286270.500"
18,1080,7945,443086,29380,1248.0,5740,41,"A:-3425.175,C:3664851.250"
19,1140,8139,467975,29380,1486.6667,11200,181,"A:-2400.212,C:1788627.125"
20,1200,8304,492714,29380,5690.0,8840,120,"A:-15.719,C:2636946.250"
21,1260,8448,517400,36680,4700.0,15480,188,"A:-0.189,C:3982414.500"
22,1320,8573,541795,38360,5520.0,12720,146,"A:-4456.529,C:6455228.000"
23,1380,8686,566683,38360,8310.0,29480,333,"A:-6311.874,C:4992340.000"
24,1440,8782,590538,42180,18770.0,9860,99,"A:-9.806,C:8078807.000"
25,1500,8873,615302,43080,6513.3333,9420,116,"A:-95.743,C:7221059.500"
26,1560,8950,639800,52740,12192.0,25060,258,"A:-2115.388,C:9313747.000"
27,1620,9032,664386,52740,26530.0,13060,105,"A:-1.802,C:12091351.000"
28,1680,9110,688923,55480,10764.0,19440,160,"A:-2766.941,C:10765448.000"
29,1740,9189,713634,74800,10104.4444,69740,858,"A:-3922.478,C:11611134.000"
30,1800.0,9254,737635,74800,10020.0,12580,149,"A:-3749.548,C:11136633.000"
