minute,elapsed_seconds,games_played,epochs_done,best_score,avg_score,last_score,last_lines,epsilon,loss
1,60,2161,2001,138020,78.9634,138020,2104,0.001,699.124023
2,120,2624,2464,304220,645.4116,36480,365,0.001,28231.337891
3,180,2902,2742,304220,1288.4769,273760,2593,0.001,25042.322266
4,240,3130,2970,304220,1941.5335,121760,1172,0.001,65438.070312
5,300,3242,3082,968120,2719.7409,968120,10301,0.001,47774.617188
6,360,3365,3205,968120,3224.3744,86300,707,0.001,51269.652344
7,420,3524,3364,968120,3875.2781,568280,5053,0.001,27556.941406
8,480,3602,3442,968120,4443.9478,622780,5258,0.001,36553.878906
9,540,3746,3586,968120,4899.3753,75340,661,0.001,38917.839844
10,600,3870,3710,968120,5332.7907,5560,60,0.001,18547.416016
11,660,3967,3807,968120,5552.5334,48780,856,0.001,11033.487305
12,720,3982,3822,968120,5933.6816,232540,3983,0.001,13232.683594
13,780,3989,3829,1728760,6667.4705,1728760,26878,0.001,17419.996094
14,840,3989,3829,1728760,6667.4705,1728760,26878,0.001,17419.996094
15,900,3990,3830,1728760,7026.0,1437200,22454,0.001,4802.239258
16,960,3992,3832,2534840,7758.1263,2534840,38705,0.001,16822.373047
17,1020,3993,3833,2534840,8186.2359,1717200,26305,0.001,10604.633789
18,1080,3994,3834,2534840,8213.9409,118840,1862,0.001,19791.816406
19,1140,3997,3837,2534840,8615.4116,140120,2075,0.001,19054.523438
20,1200,4108,3948,2534840,8842.7167,68500,844,0.001,34603.582031
21,1260,4205,4045,2534840,9168.0571,116240,1368,0.001,27744.316406
22,1320,4354,4194,2534840,9282.4851,17900,172,0.001,22177.324219
23,1380,4500,4340,2534840,9408.5378,95120,1328,0.001,42301.96875
24,1440,4509,4349,2534840,9827.5937,999720,15551,0.001,15089.22168
25,1500,4518,4358,2534840,10088.6808,40960,613,0.001,10448.755859
26,1560,4740,4580,2534840,10026.4557,23500,317,0.001,35632.847656
27,1620,4808,4648,2534840,10282.8286,589080,6868,0.001,14518.948242
28,1680,4918,4758,2534840,10389.5933,79120,1421,0.001,12097.665039
29,1740,4925,4765,2534840,10663.403,220800,3798,0.001,8014.416992
30,1800.0,4929,4769,2534840,10883.4409,155460,2532,0.001,16533.037109
