minute,elapsed_seconds,generations_done,best_score,mean_fitness,best_generation_fitness,central_fitness
1,60,7,36320,8870.4,125500.0,2320.0
2,120,10,36320,20690.8,391360.0,30700.0
3,180,11,36320,9668.8,155660.0,15280.0
4,240,13,36320,38133.2,1256660.0,7240.0
5,300,14,85100,16976.8,340520.0,85100.0
6,360,15,85100,14360.8,192620.0,42440.0
7,420,16,85100,15178.0,401840.0,5060.0
8,480,18,112840,31971.6,1137420.0,112840.0
9,540,19,112840,17148.0,179900.0,3040.0
10,600,20,112840,23557.2,253920.0,28720.0
11,660,21,112840,31505.2,755920.0,3660.0
12,720,22,112840,33036.8,270840.0,40920.0
13,780,23,117820,27576.8,479820.0,117820.0
14,840,23,117820,27576.8,479820.0,117820.0
15,900,24,620380,18845.6,233660.0,620380.0
16,960,25,620380,16763.2,199820.0,14740.0
17,1020,25,620380,16763.2,199820.0,14740.0
18,1080,27,620380,16190.0,256700.0,50900.0
19,1140,29,620380,23021.2,329960.0,81260.0
20,1200,29,620380,23021.2,329960.0,81260.0
21,1260,30,620380,33030.0,832300.0,5120.0
22,1320,31,620380,14514.4,216880.0,105320.0
23,1380,32,620380,15542.8,141780.0,107800.0
24,1440,33,620380,15154.4,154680.0,4660.0
25,1500,35,620380,9088.8,156040.0,93300.0
26,1560,35,620380,9088.8,156040.0,93300.0
27,1620,37,620380,45149.2,807300.0,547740.0
28,1680,37,620380,45149.2,807300.0,547740.0
30,1822.3,37,620380,45149.2,807300.0,547740.0
