minute,elapsed_seconds,generations_done,best_score,mean_fitness,best_generation_fitness,central_fitness
1,60,5,511500,33994.4,511500.0,
2,120,6,511500,29187.6,219440.0,
3,180,7,511500,21118.4,215400.0,
4,240,8,511500,18590.0,202340.0,
5,300,9,511500,22397.2,283400.0,
6,360,10,511500,56213.2,401360.0,
7,420,11,511500,61191.6,404240.0,
8,480,11,511500,61191.6,404240.0,
9,540,12,511500,46273.6,410200.0,
10,600,12,511500,46273.6,410200.0,
11,660,12,511500,46273.6,410200.0,
12,720,13,511500,30242.0,182540.0,
13,780,13,511500,30242.0,182540.0,
14,840,14,511500,43405.6,315660.0,
15,900,15,511500,53036.8,343160.0,
16,960,15,511500,53036.8,343160.0,
17,1020,16,511500,48836.0,426960.0,
18,1080,16,511500,48836.0,426960.0,
19,1140,17,544120,50704.8,544120.0,
20,1200,17,544120,50704.8,544120.0,
21,1260,18,544120,61460.8,374500.0,
22,1320,18,544120,61460.8,374500.0,
23,1380,19,544120,62439.2,290660.0,
24,1440,19,544120,62439.2,290660.0,
25,1500,19,544120,62439.2,290660.0,
26,1560,20,544120,33746.4,247900.0,
27,1620,20,544120,33746.4,247900.0,
28,1680,20,544120,33746.4,247900.0,
29,1740,21,546400,66060.8,546400.0,
32,1936.69,21,546400,66060.8,546400.0,
