minute,elapsed_seconds,games_played,best_score,avg_score,last_score,last_lines
1,60,148,22600.0,4534.6216,5618,50
2,120,260,22600.0,4911.8846,7680,50
3,180,388,22600.0,4752.5309,5680,59
4,240,510,22600.0,4760.4549,1458,27
5,300,630,22600.0,4723.8095,3700,47
6,360,754,22600.0,4752.3501,5418,37
7,420,869,23680.0,4784.5754,4858,29
8,480,994,23700.0,4734.0201,1840,14
9,540,1122,23700.0,4700.0232,2998,29
10,600,1245,23700.0,4691.6787,4240,63
11,660,1363,23700.0,4723.7212,380,8
12,720,1488,24940.0,4705.4637,2218,24
13,780,1612,24940.0,4695.6514,558,12
14,840,1738,24940.0,4683.6778,140,3
15,900,1862,25140.0,4697.985,5520,40
16,960,1984,26780.0,4700.9103,5860,45
17,1020,2104,28400.0,4705.019,6380,45
18,1080,2223,28400.0,4713.9919,4098,47
19,1140,2353,28400.0,4703.7153,8038,64
20,1200,2474,28400.0,4707.3274,6038,49
21,1260,2594,28400.0,4728.2968,13920,103
22,1320,2718,28400.0,4730.1045,4958,47
23,1380,2834,28400.0,4748.0572,3220,27
24,1440,2963,28400.0,4745.4472,3740,27
25,1500,3079,35880.0,4759.8402,8600,91
26,1560,3201,35880.0,4759.2634,1058,16
27,1620,3320,35880.0,4762.4898,7060,53
28,1680,3446,35880.0,4760.491,4620,31
29,1740,3567,35880.0,4762.8635,80,2
30,1800.0,3699,35880.0,4747.8448,2318,21
