minute,elapsed_seconds,games_played,steps_done,best_score,avg_score_recent,last_score,last_lines,loss
1,60,1369,18486,200,77.7778,120,3,"actor:-0.007, critic:2045.076, entropy:2.182"
2,120,1701,40245,10460,5440.0,5440,131,"actor:-0.001, critic:75867.360, entropy:0.630"
3,180,2193,60881,10460,3746.6667,5200,70,"actor:-0.011, critic:171186.204, entropy:0.674"
4,240,2350,82538,26740,3926.0,4480,77,"actor:-0.010, critic:244178.135, entropy:0.656"
5,300,2496,105251,26740,12386.6667,25800,536,"actor:-0.000, critic:113959.142, entropy:0.554"
6,360,2537,127675,62300,17088.5714,62300,1227,"actor:-0.000, critic:1569878.156, entropy:0.481"
7,420,2549,148623,131160,39635.5556,55900,1095,"actor:-0.003, critic:76692.360, entropy:0.431"
8,480,2569,170890,131160,23377.7778,48920,998,"actor:0.009, critic:50086.082, entropy:0.368"
9,540,2579,192455,210060,40717.7778,210060,4310,"actor:-0.000, critic:75716.276, entropy:0.398"
10,600,2596,211116,210060,8626.6667,13180,282,"actor:0.003, critic:38228.389, entropy:0.342"
11,660,2603,236768,231460,128766.6667,231460,4838,"actor:0.002, critic:73204.444, entropy:0.242"
12,720,2610,252675,231460,70062.0,38240,694,"actor:0.003, critic:92552.261, entropy:0.325"
13,780,2621,274273,231460,54440.0,54440,1097,"actor:-0.008, critic:38038.618, entropy:0.297"
14,840,2625,299911,231460,105500.0,145180,3085,"actor:-0.003, critic:65376.671, entropy:0.281"
15,900,2635,315017,231460,34788.0,27280,546,"actor:-0.002, critic:103552.216, entropy:0.282"
16,960,2655,337479,231460,38424.0,40820,777,"actor:0.002, critic:49848.840, entropy:0.372"
17,1020,2665,357602,231460,65968.0,111100,2254,"actor:-0.005, critic:87942.741, entropy:0.285"
18,1080,2672,377857,231460,19660.0,24840,481,"actor:-0.004, critic:208159.578, entropy:0.342"
19,1140,2691,399092,231460,17500.0,17500,393,"actor:-0.000, critic:34405.786, entropy:0.326"
20,1200,2710,420746,231460,19712.0,50080,1000,"actor:-0.005, critic:106796.066, entropy:0.277"
21,1260,2720,441581,231460,42718.0,84560,1555,"actor:-0.006, critic:40158.323, entropy:0.253"
22,1320,2737,469937,231460,39671.4286,160340,3444,"actor:-0.003, critic:37211.424, entropy:0.231"
23,1380,2739,483935,231460,60144.4444,166260,3503,"actor:0.005, critic:80484.504, entropy:0.177"
24,1440,2748,505210,231460,51272.5,45380,865,"actor:0.034, critic:366502.263, entropy:0.260"
25,1500,2757,526956,231460,58394.2857,74960,1541,"actor:-0.001, critic:32173.992, entropy:0.305"
26,1560,2780,549442,231460,25648.0,78140,1578,"actor:0.015, critic:22758.800, entropy:0.296"
27,1620,2790,572093,231460,44698.0,101820,2083,"actor:-0.001, critic:216109.574, entropy:0.286"
28,1680,2809,590140,231460,30224.4444,2880,43,"actor:-0.071, critic:288926.371, entropy:0.389"
29,1740,2831,611939,231460,45780.0,45780,937,"actor:0.011, critic:76208.444, entropy:0.273"
30,1801.63,2853,631769,231460,16753.3333,18940,408,"actor:0.000, critic:53232.183, entropy:0.258"
