minute,elapsed_seconds,games_played,best_score,avg_score,last_score,last_lines
1,60,2061,40.0,-0.1902,-2,0
2,120,3384,40.0,-0.1253,0,0
3,180,4707,100.0,-0.0527,0,0
4,240,6044,100.0,-0.0642,-2,0
5,300,7377,100.0,-0.0483,0,0
6,360,8709,100.0,-0.0661,0,0
7,420,10028,100.0,-0.0383,40,1
8,480,11355,100.0,-0.0162,0,0
9,540,12659,100.0,-0.0272,0,0
10,600,13956,100.0,-0.0231,0,0
11,660,15267,100.0,-0.0296,0,0
12,720,16572,100.0,-0.0304,-2,0
13,780,17859,100.0,-0.0132,-2,0
14,840,19153,100.0,-0.0157,0,0
15,900,20369,100.0,-0.0115,-2,0
16,960,21647,100.0,-0.0055,-2,0
17,1020,22910,100.0,-0.0175,0,0
18,1080,24168,100.0,-0.0082,0,0
19,1140,25429,100.0,-0.0047,0,0
20,1200,26695,100.0,-0.0106,-2,0
21,1260,27934,100.0,-0.0004,0,0
22,1320,29153,100.0,-0.0099,-2,0
23,1380,30385,100.0,-0.0087,-2,0
24,1440,31627,100.0,-0.0014,0,0
25,1500,32861,100.0,-0.006,0,0
26,1560,34072,100.0,-0.0049,40,1
27,1620,35288,100.0,-0.0099,-2,0
28,1680,36510,100.0,-0.0128,0,0
29,1740,37730,100.0,-0.0187,-2,0
30,1800.0,38926,100.0,-0.0263,0,0
