minute,elapsed_seconds,games_played,epochs_done,best_score,avg_score,last_score,last_lines,epsilon,loss
1,60,893,893,1940,270.4591,1760,39,,-10.077096
2,120,1296,1296,4540,528.6265,4540,106,,-14.104357
3,180,1577,1577,5320,758.1611,1000,25,,-2.712445
4,240,1796,1796,6760,975.3007,1920,48,,-3.316064
5,300,1975,1975,9040,1180.5063,5060,124,,12.335855
6,360,2094,2094,17720,1421.2321,17720,409,,-59.790779
7,420,2170,2170,27120,1675.7788,8400,173,,6.142627
8,480,2225,2225,44320,1955.4607,44320,987,,-69.220184
9,540,2297,2297,44320,2227.6883,30820,703,,-91.545509
10,600,2340,2340,50200,2491.3675,19120,413,,-50.99884
11,660,2382,2382,50200,2747.5063,40060,886,,-62.420872
12,720,2411,2411,74380,3016.2422,28220,622,,-41.440971
13,780,2436,2436,90100,3289.3596,16980,393,,-14.396074
14,840,2471,2471,90100,3535.8074,23940,545,,-69.582039
15,900,2509,2509,90100,3766.385,19020,392,,-37.392029
16,960,2531,2531,118740,4022.1335,22680,432,,-15.556262
17,1020,2552,2552,130960,4285.431,12220,253,,-48.170433
18,1080,2577,2577,141500,4575.6927,141500,2862,,-200.768936
19,1140,2607,2607,141500,4792.7963,34300,665,,-53.639542
20,1200,2631,2631,141500,5034.8385,25040,554,,-27.583916
21,1260,2654,2654,160340,5285.2374,38380,867,,-56.196167
22,1320,2671,2671,244060,5543.1299,123200,2652,,-149.35965
23,1380,2687,2687,244060,5777.3949,105180,2178,,-23.970476
24,1440,2704,2704,244060,6003.0399,36680,787,,-46.909237
25,1500,2721,2721,244060,6261.4921,103480,2027,,-140.317749
26,1560,2743,2743,244060,6462.5665,7340,167,,6.460726
27,1620,2769,2769,244060,6684.7454,58980,1192,,-30.524157
28,1680,2790,2790,244060,6931.9642,103400,2143,,-60.539009
29,1740,2809,2809,244060,7128.5724,22240,455,,-19.997608
30,1800.0,2826,2826,244060,7326.8224,69600,1441,,-3.05008
