pool_low,pool_high,games,average_score_for_low_pool,average_rating_low_pool,average_rating_high_pool,average_rating_difference_low_minus_high,cross_pool_games,pool_low_total_games,pool_high_total_games,relative_volume_per_1000,is_cross_pool
1,13,33415,0.5043244052072423,2085.2252360257753,2089.6776611694154,-4.423063063063063,33415,885108.0,309393.0,63.853997455142064,True
1,2,30446,0.5151908296656376,2043.1810367540509,2022.1751815181517,21.544145873320538,30446,885108.0,863040.0,34.835066793775795,True
5,7,16933,0.4541427980865765,2080.1772474239015,2035.8714395688992,43.760510688836106,16933,656356.0,378934.0,33.95333132405218,True
1,5,16043,0.4768746493797918,2078.059,2088.0382452193476,-9.325521649226141,16043,885108.0,656356.0,21.04833370914721,True
11,22,14945,0.5371361659417866,2138.2665681863964,2091.0010737534394,47.30035692639235,14945,369739.0,125364.0,69.41636497268776,True
11,17,14909,0.5228720906834797,2243.0652730950774,2223.0674611189656,20.63990794639231,14909,369739.0,183741.0,57.200239310037254,True
11,12,14555,0.5484026107866713,2390.4335036597154,2334.274013248689,56.78604618905611,14555,369739.0,369771.0,39.36390316189586,True
3,30,14109,0.5399744843716776,1978.9102582496414,1937.1279845127985,39.43075918130353,14109,750208.0,80916.0,57.264857598517075,True
5,9,12579,0.4620001589951506,2121.248803827751,2143.7829970492066,-23.01208,12579,656356.0,362341.0,25.793937786735484,True
1,10,11869,0.5064453618670486,2130.623013189043,2123.114276054433,7.794910941475827,11869,885108.0,452166.0,18.761477862659238,True
1,11,11567,0.3410132272845163,2319.68923370319,2446.826747720365,-126.10910832462557,11567,885108.0,369739.0,20.219712277796596,True
3,21,10578,0.5467479674796748,2082.1460889570553,2007.076110951147,72.49576559914338,10578,750208.0,130346.0,33.827029568134265,True
1,12,10527,0.39536430132041417,2188.053992177812,2249.470223325062,-59.99492045236726,10527,885108.0,369771.0,18.40094240499232,True
14,16,10241,0.5456986622400156,2247.243902439024,2219.9728883233824,26.30152184585174,10241,290306.0,215471.0,40.94679805506678,True
2,3,10011,0.470782139646389,2069.0776095457736,2107.5436002806455,-38.52334238857028,10011,863040.0,750208.0,12.441454438274231,True
4,11,9837,0.3855850360882383,2393.860839445803,2532.1742763962493,-137.90368705954447,9837,723632.0,369739.0,19.017619697076498,True
5,13,9556,0.5208769359564671,2159.865150880134,2158.8008385744233,1.283375314861461,9556,656356.0,309393.0,21.205629510705545,True
2,13,9294,0.5423391435334625,2097.11532641591,2088.9710301589016,7.741122814637854,9294,863040.0,309393.0,17.985891283098987,True
4,27,9117,0.4945705824284304,2235.0038601522,2261.8356194690264,-26.58987764182425,9117,723632.0,130152.0,29.7076056211597,True
1,8,8834,0.5161874575503735,2074.066863435123,2040.4439650278189,33.234001366431336,8834,885108.0,363592.0,15.572276354802465,True
12,14,8788,0.5392580791989076,2212.3351197263396,2254.8211512105986,-41.968642710002285,8788,369771.0,290306.0,26.822275466443553,True
2,8,8424,0.5014838556505223,2024.4528864503816,2031.077262956771,-7.129589632829374,8424,863040.0,363592.0,15.038195840423892,True
1,7,7907,0.43575313013785255,2141.4956323585266,2140.832171377868,0.8675295013323182,7907,885108.0,378934.0,13.653117210404055,True
13,16,7803,0.4366910162757914,2164.8923945107094,2200.9930715935334,-35.985362095531585,7803,309393.0,215471.0,30.221217155756936,True
4,12,7513,0.4776387594835618,2321.4816495395703,2373.626586506346,-51.902478231748155,7513,723632.0,369771.0,14.524061630205185,True
1,9,7092,0.4179357021996616,2175.389650784674,2240.6258128357367,-64.94316087880935,7092,885108.0,362341.0,12.523100174262161,True
8,13,7056,0.5038265306122449,2041.762914472748,2059.629314017895,-17.709212778094695,7056,363592.0,309393.0,21.03759890835131,True
9,13,6848,0.5668078271028038,2200.5830279935512,2165.0695155861263,35.08005287896592,6848,362341.0,309393.0,20.452658671112545,True
1,24,6713,0.5100551169372859,2103.8797610156835,2075.9608136404427,28.19511097780444,6713,885108.0,179718.0,16.831496289638995,True
3,39,6633,0.5236695311322177,2006.3430479659987,1968.8268529769136,35.770454197889585,6633,750208.0,55723.0,32.441573232958575,True
