model,month,games_all,mse_all,games_shared_with_fide,mse_shared_with_fide,fide_official_mse_on_shared
classic_elo,2008-04,180982,0.1789239754542179,144265,0.17511693412353374,0.13764081149142152
classic_elo,2008-05,0,,0,,
classic_elo,2008-06,0,,0,,
classic_elo,2008-07,236675,0.1681493492226674,187852,0.1631302627493291,0.13679543234739883
classic_elo,2008-08,0,,0,,
classic_elo,2008-09,0,,0,,
classic_elo,2008-10,243167,0.16689501286092354,187997,0.16045901120581596,0.13360164260122337
classic_elo,2008-11,0,,0,,
classic_elo,2008-12,0,,0,,
classic_elo,2009-01,167185,0.16493787755529543,129736,0.1576730150883332,0.13549237721585075
classic_elo,2009-02,0,,0,,
classic_elo,2009-03,0,,0,,
classic_elo,2009-04,185579,0.16266717627387633,144117,0.15511242337597045,0.1362235904853938
classic_elo,2009-05,0,,0,,
classic_elo,2009-06,0,,0,,
classic_elo,2009-07,276319,0.15930227275416195,213427,0.1519580502972901,0.13672714563217941
classic_elo,2009-08,0,,0,,
classic_elo,2009-09,203525,0.158382785752487,156525,0.15046460432163286,0.1358919539142354
classic_elo,2009-10,0,,0,,
classic_elo,2009-11,124272,0.1535348274095366,97975,0.14676622930502004,0.1332768421482737
classic_elo,2009-12,0,,0,,
classic_elo,2010-01,129027,0.16037408156879887,98157,0.15216751615257676,0.13953411914446878
classic_elo,2010-02,0,,0,,
classic_elo,2010-03,120543,0.1577866052018872,93770,0.15044050412641483,0.13844180215781
classic_elo,2010-04,0,,0,,
classic_elo,2010-05,199670,0.15574379802616423,158485,0.14955181621896343,0.13968666619760683
classic_elo,2010-06,0,,0,,
classic_elo,2010-07,159042,0.15643831365558283,124520,0.14912554366895037,0.1392908571539941
classic_elo,2010-08,0,,0,,
classic_elo,2010-09,195050,0.1555517223761664,147890,0.14536979649423507,0.13571324516676864
classic_elo,2010-10,0,,0,,
classic_elo,2010-11,140448,0.15283517925692588,109782,0.14429674657150812,0.1347141978585435
classic_elo,2010-12,0,,0,,
classic_elo,2011-01,145193,0.1581180917418675,109700,0.1483723110567904,0.13972153095692524
classic_elo,2011-02,0,,0,,
classic_elo,2011-03,132088,0.1568401852256637,99511,0.14641889266429672,0.13901446406464418
classic_elo,2011-04,0,,0,,
classic_elo,2011-05,223039,0.15545455532693292,178791,0.148804399043433,0.14128042527243903
classic_elo,2011-06,0,,0,,
classic_elo,2011-07,176771,0.1553864870353825,132854,0.14589909910283055,0.13871616654654184
classic_elo,2011-08,0,,0,,
classic_elo,2011-09,224484,0.1527517198953894,172951,0.1427601476073286,0.1363402433763059
classic_elo,2011-10,0,,0,,
classic_elo,2011-11,161794,0.15445748495536202,123278,0.14355646219200663,0.13767324972062722
classic_elo,2011-12,0,,0,,
classic_elo,2012-01,164518,0.15895829769047815,122749,0.1483715804653497,0.14188899280634668
classic_elo,2012-02,0,,0,,
classic_elo,2012-03,140138,0.15559868759978462,105841,0.14468416074340687,0.13903934561748874
classic_elo,2012-04,0,,0,,
classic_elo,2012-05,259245,0.15603339232699714,200618,0.14656501931142885,0.14118119535100415
classic_elo,2012-06,0,,0,,
classic_elo,2012-07,196973,0.1542351809432581,150058,0.14406782467351284,0.1391799920494064
classic_elo,2012-08,102757,0.15332883225454855,80200,0.14305113052293475,0.13820478774648162
classic_elo,2012-09,130159,0.15385506591805498,102300,0.1444953779043029,0.13901320342270362
classic_elo,2012-10,77341,0.15233285450712816,61915,0.1428614055824968,0.13801826261835118
classic_elo,2012-11,77002,0.15147162697621094,59606,0.14142635654040717,0.1349325056168898
classic_elo,2012-12,86451,0.1563437954658629,65482,0.14550312318800956,0.1397145225049369
classic_elo,2013-01,80760,0.1571603220596524,63960,0.14761209928773392,0.14187160749925978
classic_elo,2013-02,93367,0.15690781988751612,71354,0.14559271698736748,0.14106790244226441
classic_elo,2013-03,79090,0.1615528348066332,57496,0.1494914041821149,0.14463920306920244
classic_elo,2013-04,114967,0.15716343599136928,88831,0.147474380910908,0.14274204141553173
classic_elo,2013-05,142160,0.15661528585792245,111877,0.14748933668251954,0.14275613557467082
classic_elo,2013-06,135294,0.15597652628099112,103699,0.14568559921926466,0.14104759241351278
classic_elo,2013-07,81625,0.1538719365730712,62282,0.14326721858036165,0.13854468283755306
classic_elo,2013-08,122736,0.1542347222001334,95291,0.14359702313986328,0.13992060789383104
classic_elo,2013-09,115276,0.15071153900871165,92932,0.14169957843105602,0.13816549139479253
classic_elo,2013-10,97687,0.1531150551632751,75665,0.14084168278824882,0.13937549825209636
classic_elo,2013-11,95769,0.1544919674272649,73887,0.1437214001819892,0.1394298478564762
classic_elo,2013-12,84857,0.15467536254721495,65445,0.14315432140977935,0.13880307904996353
classic_elo,2014-01,106181,0.15958568167755782,81289,0.1495380831660101,0.1460064473258296
classic_elo,2014-02,108120,0.15843471977907822,79651,0.1457046898913804,0.1430932326926938
classic_elo,2014-03,80830,0.15899666618236644,60179,0.1470347724964818,0.14316917976868246
classic_elo,2014-04,113306,0.15792905943142604,89232,0.14734580356674515,0.1441804468367671
classic_elo,2014-05,162815,0.15621376502572792,126191,0.1464636670525628,0.14265614762268508
classic_elo,2014-06,105949,0.15810053662766746,77629,0.14535673306521993,0.1419576478009314
classic_elo,2014-07,104568,0.1565441718346814,77884,0.14488682396181718,0.1410323395154555
classic_elo,2014-08,124004,0.15578228280767425,95737,0.1443111851487566,0.14282311855056548
classic_elo,2014-09,122451,0.1529110435599499,95259,0.14224658737743803,0.13991135775109212
classic_elo,2014-10,100479,0.15447743348108564,76267,0.14213111980541493,0.13806934959809425
classic_elo,2014-11,107622,0.1569864447680781,81645,0.14583484007074732,0.14154703103499125
classic_elo,2014-12,94431,0.15977871687682463,70550,0.14690618229979507,0.1413232080433178
classic_elo,2015-01,119188,0.1602980353468808,89310,0.1476687975032098,0.14301551463703546
classic_elo,2015-02,115470,0.15623155183165524,91069,0.14579309255508896,0.1408391753876161
classic_elo,2015-03,98328,0.15986053640148046,74441,0.14725536944487624,0.14294080489593167
classic_elo,2015-04,120313,0.15697116729754826,96431,0.14690295352729008,0.1411449748553981
classic_elo,2015-05,159203,0.15768428822420685,123999,0.1461138826260809,0.1410949021103982
classic_elo,2015-06,133429,0.15892335670133395,100399,0.14641471432364134,0.1410344339458968
classic_elo,2015-07,106171,0.15862508906594727,81232,0.14643326436088325,0.14068374643292697
classic_elo,2015-08,137771,0.1563832864551044,108745,0.1450019404447482,0.14040461511111746
classic_elo,2015-09,154547,0.15345710915396302,125379,0.1435024564928277,0.1390173806964231
classic_elo,2015-10,103432,0.15820990476612484,81712,0.1467000991574111,0.139442672554209
classic_elo,2015-11,118017,0.15488980337288014,93670,0.14456966247344788,0.13782485450295093
classic_elo,2015-12,120452,0.16039713353037796,96094,0.1494649221846117,0.14334223570105317
classic_elo,2016-01,142820,0.16308482631372792,111822,0.15183024393702535,0.14617404210702173
classic_elo,2016-02,131816,0.1591891772934313,103358,0.14768773535245788,0.14149156769821652
classic_elo,2016-03,132128,0.15971414142025872,106823,0.14964088453408417,0.14364726774250317
classic_elo,2016-04,155437,0.16043228292926873,124640,0.15006311285521196,0.14377650175885232
classic_elo,2016-05,137093,0.15934920198353847,111315,0.1495633259466482,0.1428058053019569
classic_elo,2016-06,142698,0.16001226706720742,110644,0.14779625017301587,0.14126813853236594
classic_elo,2016-07,109570,0.16077451278051447,87396,0.14939627123148455,0.14293209434493165
classic_elo,2016-08,156349,0.1581733438808551,125466,0.14693147997251982,0.14106828550107872
classic_elo,2016-09,170541,0.15521198639456796,141565,0.14581258331477245,0.14154906017596586
classic_elo,2016-10,102692,0.15920440971371552,81888,0.14788300323193987,0.14190715383649383
classic_elo,2016-11,130785,0.15677594485972463,106284,0.14677327260105277,0.14085633062498779
classic_elo,2016-12,141489,0.15939648128807032,116345,0.1505310229799505,0.1436400786611406
classic_elo,2017-01,155897,0.16377197328606893,123531,0.15263691073770386,0.14670666475019908
classic_elo,2017-02,150759,0.1576317475787494,121558,0.1471893392274925,0.14262319169159204
classic_elo,2017-03,117131,0.1607178411228652,96153,0.15080330417009777,0.1454640615563146
classic_elo,2017-04,148123,0.16156162334454036,121788,0.15250790033433362,0.14660659289062322
classic_elo,2017-05,168769,0.15779383690639104,138400,0.1479081907339902,0.1414714100110548
classic_elo,2017-06,143535,0.15782096854739758,115773,0.14796037427664216,0.14381991804577768
classic_elo,2017-07,130033,0.15981429122555646,104188,0.1494473100680905,0.1447036230325956
classic_elo,2017-08,171045,0.1574591656786094,139774,0.14791244475499538,0.14385007764281413
classic_elo,2017-09,166013,0.15404368990089362,138049,0.14496380132177203,0.14127705307757643
classic_elo,2017-10,114268,0.15648009730821985,93445,0.146822541036453,0.1430673773604005
classic_elo,2017-11,124767,0.1534686066170254,101873,0.14441177130291624,0.1397531099635756
classic_elo,2017-12,152995,0.15868186459111394,126971,0.15011957050172897,0.14593946554204865
classic_elo,2018-01,158039,0.16174097076914876,128128,0.15251160891168675,0.14795017354637724
classic_elo,2018-02,159448,0.15676288554627824,130833,0.1482779263704276,0.14516506605768278
classic_elo,2018-03,140200,0.15846129284709712,113958,0.1486017497847704,0.1438710706118439
classic_elo,2018-04,136794,0.1602859177853657,114566,0.15184178339796991,0.14638299361794493
classic_elo,2018-05,175647,0.15901120492939547,142890,0.14950937501522987,0.14478892880618174
classic_elo,2018-06,155857,0.15741213679534385,124913,0.14744594677226128,0.14461917809477368
classic_elo,2018-07,127445,0.15971422095028268,101253,0.15024864811825844,0.14776779749934635
classic_elo,2018-08,183183,0.15533858371098808,151293,0.14603115867932273,0.14505380291679337
classic_elo,2018-09,163513,0.15501049078699572,134001,0.14541797294988962,0.1438768147320056
classic_elo,2018-10,99339,0.15600238448641301,81172,0.14652300910915367,0.14439505080350473
classic_elo,2018-11,132573,0.1538183008829057,110473,0.14572849018637654,0.1435403399992663
classic_elo,2018-12,160329,0.15935587886779073,132013,0.15083053424507678,0.1486459346962695
classic_elo,2019-01,151587,0.15933096073243788,123867,0.15104059880021398,0.14846589402257646
classic_elo,2019-02,166560,0.1565784086845669,136179,0.14791595653434272,0.14674861876527814
classic_elo,2019-03,123549,0.1565183483894823,102775,0.14814471446427682,0.1457772082195778
classic_elo,2019-04,147548,0.15883876669713487,122103,0.15013625622831223,0.14767940148047384
classic_elo,2019-05,203830,0.15620819037239414,167801,0.14740300134694226,0.14549958711491992
classic_elo,2019-06,131996,0.1581397264855714,105832,0.1490118865739764,0.1477431887930657
classic_elo,2019-07,150657,0.15749314226701777,122965,0.14883815596333466,0.14871307352825164
classic_elo,2019-08,184892,0.15414541573740398,153532,0.1456870967378462,0.1466920341447409
classic_elo,2019-09,174646,0.15347034486387953,145075,0.14589912857131584,0.14783924411519628
classic_elo,2019-10,105337,0.15432525801998312,86984,0.1464376581268124,0.1487107912354122
classic_elo,2019-11,136652,0.15515059131659711,112749,0.14700247419807272,0.14706445098924276
classic_elo,2019-12,163304,0.15692320295834575,135706,0.14898579796497438,0.1477000164205632
classic_elo,2020-01,154730,0.1582037863494476,127518,0.15053036395147865,0.15014015496170627
classic_elo,2020-02,166424,0.15499815450480048,138404,0.14755114277983808,0.14813930255937824
classic_elo,2020-03,134659,0.15671293999256444,113746,0.14914226376270553,0.14837624462817883
classic_elo,2020-04,98206,0.15777478766547492,84539,0.15095041419001187,0.14827489869085791
classic_elo,2020-05,6318,0.16705860700813088,5203,0.15860833627428697,0.1550410720513652
classic_elo,2020-06,1983,0.16295220811017205,1604,0.1570068022249098,0.14456280345942843
classic_elo,2020-07,10453,0.14116788064719718,9776,0.13734875373387265,0.1370723543159292
classic_elo,2020-08,17416,0.15008929958328304,14879,0.14089410310512865,0.14461018568376216
classic_elo,2020-09,35859,0.15334782364108385,31616,0.14646195907558576,0.14855440760545635
classic_elo,2020-10,35958,0.15070908194388863,31602,0.14330519289684865,0.14576140867445989
classic_elo,2020-11,38815,0.14978304230416534,34066,0.14368805796348547,0.14359375483932493
classic_elo,2020-12,20568,0.15698989267239297,16928,0.1478766999656961,0.151251817381171
classic_elo,2021-01,24591,0.15866878311060603,20345,0.1516226521941109,0.15407100493093484
classic_elo,2021-02,19935,0.15967422072981885,15945,0.1495445476581335,0.1548057050279339
classic_elo,2021-03,14473,0.1603221825060037,11227,0.14989966222785855,0.15813373659938568
classic_elo,2021-04,31608,0.15851965776577198,25655,0.14936498251698876,0.15485994249315774
classic_elo,2021-05,42571,0.16012182754824536,32833,0.14989196807820668,0.1572828194095197
classic_elo,2021-06,32623,0.15819330500287437,26524,0.14847603267717704,0.15361593144860108
classic_elo,2021-07,67486,0.16026146115835557,52070,0.14948859298311226,0.15534107897680646
classic_elo,2021-08,85151,0.15382160949351104,70202,0.14475882973636356,0.15329495645721306
classic_elo,2021-09,107478,0.15497489448121568,87526,0.14577705954084438,0.15486003762158035
classic_elo,2021-10,72035,0.1533797840413618,58242,0.14330093450711026,0.14973921777886925
classic_elo,2021-11,88431,0.15220749509984444,73424,0.14286936369694217,0.1484686863486792
classic_elo,2021-12,120499,0.15985226817322537,95357,0.1493437965667797,0.1564535839666976
classic_elo,2022-01,106332,0.1629578416812784,81324,0.1520532533336746,0.1594703565523222
classic_elo,2022-02,84471,0.1582386829571392,66176,0.14719417212642386,0.15475191427107401
classic_elo,2022-03,79374,0.15696930616880883,64167,0.14612261986441327,0.15226536773714602
classic_elo,2022-04,129046,0.1568477671053497,103775,0.14638863049929224,0.15363782815108565
classic_elo,2022-05,151542,0.15932137461889004,120708,0.147951232576618,0.15458422070004835
classic_elo,2022-06,121892,0.15692577718717715,96978,0.1457124963028544,0.1538702364839426
classic_elo,2022-07,123467,0.15739522592991081,97255,0.145921539837506,0.15439572665176224
classic_elo,2022-08,147775,0.1560012721074272,118956,0.14538352117499365,0.1566583743112495
classic_elo,2022-09,166586,0.15445003311405034,135348,0.14403931669971604,0.15403433891707607
classic_elo,2022-10,112576,0.15699705519877688,91113,0.14618948855727534,0.15612180778860027
classic_elo,2022-11,121255,0.15613458810656228,95722,0.14414639684372943,0.15054956403779413
classic_elo,2022-12,155614,0.15738438415457834,125814,0.14715001024134425,0.1552064950378177
classic_elo,2023-01,117006,0.15974851329762238,93656,0.14917844334199704,0.1555209729020314
classic_elo,2023-02,158635,0.15661938314635881,125878,0.1461716695048733,0.1541977404775415
classic_elo,2023-03,148995,0.1589247027640859,118611,0.148094013390564,0.15346944489148756
classic_elo,2023-04,134395,0.15796966876692894,109286,0.14786108826913816,0.15364614231316087
classic_elo,2023-05,161031,0.15629021223440837,125552,0.14466244076391213,0.15124570422864655
classic_elo,2023-06,154070,0.15742675982177143,120933,0.14662509888490471,0.15205762795967753
classic_elo,2023-07,134541,0.1572287642089711,104978,0.14622654375333138,0.15421571596188255
classic_elo,2023-08,174520,0.1559230463572783,140987,0.1458680532991004,0.15663805054240293
classic_elo,2023-09,181717,0.15517916671714202,144747,0.14429338220407628,0.15312476630520452
classic_elo,2023-10,109233,0.15438313863731815,89765,0.14487879334691958,0.15245830891061207
classic_elo,2023-11,155183,0.15416362669892003,123446,0.14324232645716353,0.14857358303711993
classic_elo,2023-12,157723,0.15717608676373784,129553,0.14830913401367726,0.15461103282679903
classic_elo,2024-01,136753,0.15872369639741615,107620,0.1479027260659684,0.15515565682445132
classic_elo,2024-02,188591,0.15789816740963372,148100,0.14767446030659867,0.15458904603311982
classic_elo,2024-03,158871,0.1593338121210399,125251,0.1486967656774268,0.1536947440799163
classic_elo,2024-04,153312,0.15733513072099678,126462,0.14795764594541785,0.14904309409256347
classic_elo,2024-05,184379,0.15480220176862217,148516,0.1449551580083685,0.1440756316314139
classic_elo,2024-06,166980,0.15605190829885662,128797,0.14441598260239832,0.14346134520623752
classic_elo,2024-07,124316,0.15461728718996753,97658,0.1440029534120858,0.14459813674808647
classic_elo,2024-08,204608,0.15315432902485526,165841,0.1434839522537463,0.14595087092256542
classic_elo,2024-09,170646,0.1531117679150847,137992,0.14346660842618986,0.14490793270601346
classic_elo,2024-10,127181,0.1540687639531067,103637,0.14463926579245232,0.14513949766479062
classic_elo,2024-11,150324,0.15424592956543917,122605,0.14479818697865401,0.14348358933736863
classic_elo,2024-12,178838,0.15604173721341308,146431,0.14732078225787407,0.14670192491710318
classic_elo,2025-01,164555,0.15751458204259103,132507,0.149186893206397,0.1500422774990157
classic_elo,2025-02,201036,0.15764647312325944,158773,0.1478181123775031,0.14842691902018532
classic_elo,2025-03,168718,0.1559456576907268,137738,0.14738218749892765,0.14668756884309575
