pool_a,pool_b,offset_a_vs_b
1,2,-1.783065183290528
1,3,-19.4622485718758
1,4,-1.0713952804079248
1,5,-4.722138578301533
1,6,1.8213215017585926
1,7,-19.967742764923873
1,8,14.072561544703039
1,9,-7.483954881215134
1,10,16.201035630407116
1,11,-25.21707857393821
1,12,-2.8205120724870545
1,13,-7.5630807478623145
1,14,12.277896481243111
1,15,-1.5143184703418051
1,16,9.045134961673254
1,17,-35.286011889307524
1,18,2.8085855131788207
1,19,11.166049423480503
1,20,11.393597940216114
1,21,-6.568524910658761
1,22,-7.739672978577001
1,23,-5.835954812452459
1,24,-11.31650028186639
1,25,-7.345500553119031
1,26,-1.1255015489862294
1,27,-54.97437048102973
1,28,-0.22587086600788975
1,29,-8.061020104806117
1,30,-4.946297095910055
1,31,-10.755917282843422
1,32,-8.839101891734908
1,33,-7.517391932223528
1,34,-0.39832750618528134
1,35,-2.194024151295567
1,36,-6.253140267383171
1,37,-0.8142205857720977
1,38,-15.936978229744778
1,39,-4.71647578934961
1,40,-3.4845014389535836
1,41,5.786336799265628
1,42,-5.902623125463799
1,43,0.2968552259449967
1,44,-7.9824954305013796
1,45,-5.83156035933586
1,46,9.622819383275555
1,47,0.9525847768883391
1,48,0.793062229496118
1,49,0.5512968213993165
1,50,-0.6426955379600983
1,51,-0.9120770168672615
1,52,0.6828368386389428
1,53,0.34467887591545254
1,54,0.0
1,55,0.1458769398798502
1,56,0.0
2,3,-36.70792776659718
2,4,-47.80265486906964
2,5,8.295543527363185
2,6,18.630368147129886
2,7,-16.893657999245413
2,8,-19.67372747165025
2,9,-13.263266256207027
2,10,-14.344008254431518
2,11,-50.96127695786731
2,12,-16.01993626682891
2,13,-20.333260657367678
2,14,-38.31024510946452
2,15,0.1251836250966174
2,16,-5.842421104162379
2,17,-45.64319036104614
2,18,6.099998689221692
2,19,-13.712651804453598
2,20,-35.35995294381183
2,21,-9.034093647269344
2,22,-1.0704389460955155
2,23,-10.798393613916858
2,24,-30.293184166726512
2,25,6.527337560430917
2,26,2.2402384868589293
2,27,-9.627820323743697
2,28,-7.854622837326157
2,29,-4.66610178081738
2,30,-31.251960933749324
2,31,-8.562296888774155
2,32,-7.1133371598237085
2,33,-8.647552098298704
2,34,1.3833124628243232
2,35,-1.7159277294514235
2,36,-2.3108752873464677
2,37,-1.7346253232646747
2,38,-8.713784332488114
2,39,-2.3742931513517442
2,40,2.88427933713535
2,41,-2.108561450866919
2,42,0.7349818867750144
2,43,36.06870709162541
2,44,-9.728464042770499
2,45,-11.215039950375889
2,46,-12.421772142875275
2,47,4.434178501262586
2,48,-0.003301099115258875
2,49,-3.438518121685464
2,50,0.7945240996628679
2,51,2.885055808233969
2,52,2.1534860851440616
2,53,0.2074180301970259
2,54,0.0
2,55,0.0
2,56,-0.27501252206155774
3,4,-20.66077222153925
3,5,3.5434511974665748
3,6,-14.479783907505025
3,7,1.0102554938672026
3,8,-2.599736435145864
3,9,-9.00483124295174
3,10,-11.625026484279099
3,11,-30.98744108305789
3,12,-7.722101977921012
3,13,-12.909868295337528
3,14,-5.761333798019116
3,15,-38.08067063176594
3,16,5.842008702995793
3,17,-22.953997612890163
3,18,-4.764085119712254
3,19,-53.03816057584125
3,20,-3.882708442373983
3,21,-7.901546041342465
3,22,5.421656563733628
3,23,5.198085617557603
3,24,25.179604724834288
3,25,-25.071550874755765
3,26,-8.144112138038167
3,27,-25.22771842399852
3,28,1.1453488937482859
3,29,-0.6104284232318766
3,30,4.803109646956957
3,31,1.5259099252233064
3,32,0.7386508430411524
3,33,-9.718132631317408
3,34,-1.266094007217752
3,35,-0.7630129522071528
3,36,-3.5543991636299115
3,37,-1.4732687129235782
3,38,-7.811304643782631
3,39,-7.980817324109264
3,40,3.651605514054464
3,41,-3.5306240598732876
3,42,-11.916096741568355
3,43,-8.27759142863248
3,44,-1.2294632672100592
3,45,0.0020476851093584637
3,46,8.731711731238041
3,47,-1.6935214287880123
3,48,0.9516380491582996
3,49,1.3947974678714676
3,50,-0.05017674486019947
3,51,-0.560546933213156
3,52,-0.7784213568614156
3,53,0.00048105736959317514
3,54,0.0
3,55,0.6846985714205296
3,56,-3.665240192927965
4,5,20.98764516586638
4,6,-4.07811105554319
4,7,-11.9971364411219
4,8,23.22851295130605
4,9,9.180895678139889
4,10,6.206417471790186
4,11,-47.64360189448403
4,12,5.693760254377335
4,13,10.58053647828053
4,14,43.9034090596484
4,15,-50.84888223618366
4,16,8.731328401638192
4,17,-32.18820826704581
4,18,7.075413357594847
4,19,-1.7013826499918783
4,20,-19.538310198993198
4,21,-0.8047973433410889
4,22,-0.11309232974210841
4,23,-2.6015014661831257
4,24,-8.959775851819613
4,25,1.2190320836432222
4,26,-6.046461021756718
4,27,-56.366647831593276
4,28,9.290571735566546
4,29,-7.711471881613559
4,30,9.44798272083383
4,31,12.549604110933652
4,32,1.0502793036311862
4,33,-21.49057760452972
4,34,-3.5916512329852113
4,35,2.3430456994358346
4,36,-1.2147195959431003
4,37,-4.9644463722893075
4,38,1.0595399580414009
4,39,2.2634171498394107
4,40,6.040937881171626
4,41,-1.4511401578116934
4,42,-0.24516561982275073
4,43,-5.000782117636337
4,44,5.619261361371067
4,45,-10.170788647566658
4,46,1.7437657696950097
4,47,3.824097627866659
4,48,-6.881059789386017
4,49,1.8136342188791905
4,50,1.1551732156878343
4,51,-4.3390950850496415
4,52,-1.8125484072942384
4,53,0.10811101038788155
4,54,0.0
4,55,0.29740581473983696
4,56,0.5333402547931527
5,6,-2.9617105557040646
5,7,-23.692766697127315
5,8,-6.05402156790618
5,9,-23.928395807391006
5,10,17.58347720697877
5,11,0.9053842957958744
5,12,-9.101296159274579
5,13,-10.371856929257122
5,14,-10.780588791688555
5,15,-13.095615228330669
5,16,36.920365642627836
5,17,-54.36365568241519
5,18,2.6375898878628923
5,19,7.117264392079585
5,20,-9.702115422915195
5,21,0.19602607786486625
5,22,2.2199748457067354
5,23,-6.44259674386113
