model,scope,games_all,mse_all,mae_all,games_shared_with_fide,mse_shared_with_fide,fide_official_mse_on_shared,max_abs_pool_offset,max_abs_pair_offset
classic_elo,train,6675441,0.15819606345608211,0.3506284762172498,5377023,0.14806857248996383,0.14331633356353987,0.0,0.0
classic_elo,validation,3268828,0.15628499078708913,0.347701669574055,2694799,0.14781174467662953,0.14885635062766983,0.0,0.0
classic_elo,test,7393544,0.15602634778615285,0.3472320547551577,5946127,0.14611391777629504,0.14990702703313474,0.0,0.0
previous_dynamic_seed,train,6675441,0.152384683748374,0.33704687297700786,5377023,0.14582467932517224,0.14331633356353987,203.0448247475757,0.0
previous_dynamic_seed,validation,3268828,0.15132496259542355,0.3349991037496324,2694799,0.14592707161418403,0.14885635062766983,203.0448247475757,0.0
previous_dynamic_seed,test,7393544,0.15084909991774384,0.33448017277093883,5946127,0.14414003602778883,0.14990702703313474,203.0448247475757,0.0
advanced_seed,train,6675441,0.14790592915632927,0.3279519781143384,5377023,0.14121836600923068,0.14331633356353987,175.71786483387757,96.85978647035444
advanced_seed,validation,3268828,0.14714039856815994,0.3259392901246587,2694799,0.14221284252337907,0.14885635062766983,175.71786483387757,96.85978647035444
advanced_seed,test,7393544,0.14686805237311068,0.32518630376824864,5946127,0.1410378311603949,0.14990702703313474,175.71786483387757,96.85978647035444
provisional_9_seed,train,6675441,0.15430054341271693,0.33052321168503696,5377023,0.1402376094782689,0.14331633356353987,174.93472432199692,76.94507086892594
provisional_9_seed,validation,3268828,0.1537841263768095,0.32923940951140723,2694799,0.14186496860580397,0.14885635062766983,174.93472432199692,76.94507086892594
provisional_9_seed,test,7393544,0.1549718178560761,0.33093713039390854,5946127,0.1410574616330281,0.14990702703313474,174.93472432199692,76.94507086892594
provisional_full,train,6675441,0.1437216799288538,0.32282983315381575,5377023,0.13963299129202614,0.14331633356353987,299.66366570338647,58.66280692275501
provisional_full,validation,3268828,0.14368080976004682,0.3215756013280968,2694799,0.14029839902318883,0.14885635062766983,299.66366570338647,58.66280692275501
provisional_full,test,7393544,0.14399274494477357,0.322149358106902,5946127,0.13932864228543979,0.14990702703313474,299.66366570338647,58.66280692275501
provisional_fixed_1500_entry,train,6675441,0.14563299346625075,0.32359345251297456,5377023,0.13938886996599065,0.14331633356353987,299.66366570338647,58.66280692275501
provisional_fixed_1500_entry,validation,3268828,0.14550805694521368,0.3227626480727005,2694799,0.14045060849116991,0.14885635062766983,299.66366570338647,58.66280692275501
provisional_fixed_1500_entry,test,7393544,0.14635554371479273,0.32413826110322014,5946127,0.1396687944038376,0.14990702703313474,299.66366570338647,58.66280692275501
provisional_without_performance_entry,train,6675441,0.15109629712476283,0.3208063793646969,5377023,0.14024361601869398,0.14331633356353987,285.06108907246806,57.13282696846604
provisional_without_performance_entry,validation,3268828,0.1505413113436517,0.3201587630198655,2694799,0.1417294963029174,0.14885635062766983,285.06108907246806,57.13282696846604
provisional_without_performance_entry,test,7393544,0.151461710914511,0.3225464259010777,5946127,0.14104235141787866,0.14990702703313474,285.06108907246806,57.13282696846604
provisional_without_entry_acceleration,train,6675441,0.14409393050026045,0.32473745367508766,5377023,0.14015127733067534,0.14331633356353987,299.66366570338647,58.66280692275501
provisional_without_entry_acceleration,validation,3268828,0.14384037247440812,0.32317911106282593,2694799,0.14054241317280675,0.14885635062766983,299.66366570338647,58.66280692275501
provisional_without_entry_acceleration,test,7393544,0.14411096816316357,0.323524577072694,5946127,0.1394900580905123,0.14990702703313474,299.66366570338647,58.66280692275501
provisional_exactly_9_games,train,6675441,0.14380552003093566,0.3227960756970066,5377023,0.1394746553091518,0.14331633356353987,299.66366570338647,58.66280692275501
provisional_exactly_9_games,validation,3268828,0.14377343543547888,0.3215518688489653,2694799,0.14026151025514783,0.14885635062766983,299.66366570338647,58.66280692275501
provisional_exactly_9_games,test,7393544,0.14413432720448296,0.32226174051238504,5946127,0.13933805284773385,0.14990702703313474,299.66366570338647,58.66280692275501
provisional_without_pool,train,6675441,0.15346067879494402,0.32956702891651496,5377023,0.139819672799478,0.14331633356353987,0.0,0.0
provisional_without_pool,validation,3268828,0.15379339695459202,0.32849136213447033,2694799,0.1415853849767895,0.14885635062766983,0.0,0.0
provisional_without_pool,test,7393544,0.15624122829864745,0.3316460683419516,5946127,0.14121122599476657,0.14990702703313474,0.0,0.0
provisional_without_dynamic_exposure,train,6675441,0.14573268147099894,0.32330243025694155,5377023,0.13896459794740976,0.14331633356353987,292.4240301517222,56.47108509673208
provisional_without_dynamic_exposure,validation,3268828,0.14784542270039924,0.32348516074024863,2694799,0.1409209162663179,0.14885635062766983,292.4240301517222,56.47108509673208
provisional_without_dynamic_exposure,test,7393544,0.15120798360927024,0.32775821169260383,5946127,0.14112031935678584,0.14990702703313474,292.4240301517222,56.47108509673208
provisional_without_pair_interaction,train,6675441,0.14374111857705335,0.32288311877272924,5377023,0.13964578247714612,0.14331633356353987,299.66366570338647,0.0
provisional_without_pair_interaction,validation,3268828,0.1437049281195422,0.32166061886567265,2694799,0.14030081387241564,0.14885635062766983,299.66366570338647,0.0
provisional_without_pair_interaction,test,7393544,0.14404969241841256,0.32228991913816235,5946127,0.13933893594937913,0.14990702703313474,299.66366570338647,0.0
provisional_without_pair_shrinkage,train,6675441,0.14372168317106673,0.32282935055799394,5377023,0.13963274207448137,0.14331633356353987,299.66366570338647,58.66280692275501
provisional_without_pair_shrinkage,validation,3268828,0.1436805882854433,0.3215747229717884,2694799,0.14029828902158165,0.14885635062766983,299.66366570338647,58.66280692275501
provisional_without_pair_shrinkage,test,7393544,0.14399240805691363,0.32214837492448484,5946127,0.13932860905388095,0.14990702703313474,299.66366570338647,58.66280692275501
provisional_without_pool_centering,train,6675441,0.1437216799288538,0.32282983315381575,5377023,0.13963299129202614,0.14331633356353987,299.66366570338647,58.66280692275501
provisional_without_pool_centering,validation,3268828,0.14368080976004682,0.3215756013280968,2694799,0.14029839902318883,0.14885635062766983,299.66366570338647,58.66280692275501
provisional_without_pool_centering,test,7393544,0.14399274494477357,0.322149358106902,5946127,0.13932864228543979,0.14990702703313474,299.66366570338647,58.66280692275501
provisional_max_exposures_1,train,6675441,0.14433189730898563,0.3238517130524747,5377023,0.14066826317524,0.14331633356353987,299.66366570338647,58.66280692275501
provisional_max_exposures_1,validation,3268828,0.14419723143076954,0.3225526602411081,2694799,0.14108615780596798,0.14885635062766983,299.66366570338647,58.66280692275501
provisional_max_exposures_1,test,7393544,0.1443811894206662,0.3227569050915743,5946127,0.13995379296686358,0.14990702703313474,299.66366570338647,58.66280692275501
provisional_max_exposures_2,train,6675441,0.14376572010090038,0.3229146368728869,5377023,0.13972641117169063,0.14331633356353987,299.66366570338647,58.66280692275501
provisional_max_exposures_2,validation,3268828,0.14372185373725765,0.32164178581128355,2694799,0.14037642457942817,0.14885635062766983,299.66366570338647,58.66280692275501
provisional_max_exposures_2,test,7393544,0.14402793051001897,0.3222227423055083,5946127,0.13940235793620703,0.14990702703313474,299.66366570338647,58.66280692275501
provisional_max_exposures_3,train,6675441,0.1437216799288538,0.32282983315381575,5377023,0.13963299129202614,0.14331633356353987,299.66366570338647,58.66280692275501
provisional_max_exposures_3,validation,3268828,0.14368080976004682,0.3215756013280968,2694799,0.14029839902318883,0.14885635062766983,299.66366570338647,58.66280692275501
provisional_max_exposures_3,test,7393544,0.14399274494477357,0.322149358106902,5946127,0.13932864228543979,0.14990702703313474,299.66366570338647,58.66280692275501
provisional_without_form,train,6675441,0.14371549462407582,0.3228396971575264,5377023,0.13962677061563397,0.14331633356353987,299.66366570338647,58.66280692275501
provisional_without_form,validation,3268828,0.14367410379154472,0.32158239603807964,2694799,0.14029127156475926,0.14885635062766983,299.66366570338647,58.66280692275501
provisional_without_form,test,7393544,0.14398813256773021,0.3221563676748219,5946127,0.13932316148713156,0.14990702703313474,299.66366570338647,58.66280692275501
provisional_without_white_advantage,train,6675441,0.14422004567695793,0.3238735831344626,5377023,0.1402026465068494,0.14331633356353987,299.66366570338647,58.66280692275501
provisional_without_white_advantage,validation,3268828,0.14420141087852087,0.3226099407394231,2694799,0.14087760927342813,0.14885635062766983,299.66366570338647,58.66280692275501
provisional_without_white_advantage,test,7393544,0.14453756118566272,0.3232174209789534,5946127,0.13994396864348976,0.14990702703313474,299.66366570338647,58.66280692275501
provisional_without_uncertainty_prediction,train,6675441,0.14566040029946,0.318139441108738,5377023,0.14047340992912632,0.14331633356353987,299.47364157920845,58.31812878996104
provisional_without_uncertainty_prediction,validation,3268828,0.14558411856438022,0.31690790090177534,2694799,0.14127778453897286,0.14885635062766983,299.47364157920845,58.31812878996104
provisional_without_uncertainty_prediction,test,7393544,0.14591964190467493,0.31725325298949303,5946127,0.14031575307929572,0.14990702703313474,299.47364157920845,58.31812878996104
