pool_id,players,source_community_players
0,2081,25
1,12045,12045
2,10719,10719
3,8917,8917
4,7391,7391
5,6652,6652
6,4938,4938
7,4910,4910
8,4794,4794
9,4475,4475
10,4177,4177
11,3845,3845
12,3781,3781
13,3641,3641
14,3570,3570
15,3473,3473
16,3139,3139
17,3055,3055
18,2917,2917
19,2811,2811
20,2328,2328
21,2226,2226
22,2160,2160
23,2091,2091
24,2078,2078
25,1816,1816
26,1729,1729
27,1661,1661
28,1430,1430
29,1359,1359
30,1142,1142
31,1123,1123
32,960,960
33,944,944
34,918,918
35,836,836
36,790,790
37,734,734
38,725,725
39,693,693
40,608,608
41,592,592
42,532,532
43,527,527
44,492,492
45,486,486
46,477,477
47,432,432
48,309,309
49,270,270
50,125,125
51,116,116
52,83,83
53,68,68
54,65,65
55,48,48
56,34,34
