model,month,players_seen,effective_min,effective_p01,effective_p10,effective_p25,effective_p50,effective_p75,effective_p90,effective_p99,effective_max
classic_elo,2008-04,35706,1300.0,1422.5,1462.5,1482.5,1497.5,1517.5,1542.5,1602.5,1757.9386380253522
classic_elo,2008-07,63413,1237.0830109515966,1412.5,1457.5,1477.5,1497.5,1517.5,1547.5,1627.5,1769.2240765204913
classic_elo,2008-10,78126,1222.484878463021,1402.5,1452.5,1472.5,1492.5,1517.5,1552.5,1657.5,1815.088491966677
classic_elo,2009-01,88435,1222.484878463021,1392.5,1452.5,1472.5,1492.5,1517.5,1557.5,1672.5,1830.0574695064554
classic_elo,2009-04,96130,1175.6828628227072,1387.5,1447.5,1472.5,1492.5,1522.5,1562.5,1687.5,1856.0589732648266
classic_elo,2009-07,106936,1175.6828628227072,1377.5,1442.5,1467.5,1492.5,1522.5,1567.5,1702.5,1877.3513002523794
classic_elo,2009-09,111986,1175.6828628227072,1372.5,1437.5,1467.5,1492.5,1522.5,1572.5,1717.5,1935.6445293452355
classic_elo,2009-11,115356,1175.6828628227072,1367.5,1437.5,1467.5,1492.5,1522.5,1572.5,1727.5,1940.4248616163547
classic_elo,2010-01,119145,1165.0585875138654,1362.5,1432.5,1467.5,1492.5,1522.5,1572.5,1737.5,1917.361421691622
classic_elo,2010-03,122006,1165.0585875138654,1362.5,1432.5,1462.5,1492.5,1522.5,1577.5,1742.5,1952.7834546669533
classic_elo,2010-05,126711,1153.8296526830245,1357.5,1432.5,1462.5,1492.5,1527.5,1577.5,1747.5,1986.4463877023131
classic_elo,2010-07,130342,1153.8296526830245,1352.5,1427.5,1462.5,1492.5,1527.5,1582.5,1752.5,1968.0004187766906
classic_elo,2010-09,135161,1113.844965572887,1347.5,1427.5,1462.5,1492.5,1527.5,1582.5,1762.5,1988.9829839962522
classic_elo,2010-11,138572,1113.844965572887,1347.5,1427.5,1462.5,1492.5,1527.5,1587.5,1767.5,1991.7247389296124
classic_elo,2011-01,142158,1137.3919553221951,1342.5,1427.5,1457.5,1487.5,1527.5,1587.5,1772.5,1998.9988786410363
classic_elo,2011-03,145507,1122.3383074539308,1342.5,1422.5,1457.5,1487.5,1527.5,1587.5,1772.5,2017.4684982153206
classic_elo,2011-05,149681,1118.2036346659265,1337.5,1422.5,1457.5,1487.5,1527.5,1592.5,1777.5,2021.0717363191898
classic_elo,2011-07,153718,1122.1375449056784,1337.5,1422.5,1457.5,1487.5,1527.5,1592.5,1782.5,2027.8171401437417
classic_elo,2011-09,158478,1103.4279441396613,1332.5,1417.5,1457.5,1487.5,1527.5,1592.5,1792.5,2039.3425482458965
classic_elo,2011-11,162520,1096.3508517477803,1332.5,1417.5,1457.5,1487.5,1527.5,1592.5,1792.5,2058.708099070077
classic_elo,2012-01,167627,1096.3508517477803,1332.5,1417.5,1457.5,1487.5,1527.5,1592.5,1797.5,2085.3273089002996
classic_elo,2012-03,171133,1075.299742012088,1332.5,1417.5,1457.5,1487.5,1527.5,1597.5,1797.5,2054.5238192915804
classic_elo,2012-05,178038,1063.5488343254608,1327.5,1417.5,1457.5,1487.5,1527.5,1597.5,1802.5,2074.4271650303094
classic_elo,2012-07,182593,1055.487155644759,1327.5,1417.5,1457.5,1487.5,1527.5,1597.5,1802.5,2103.6312762166617
classic_elo,2012-08,184603,1049.140004099582,1327.5,1417.5,1457.5,1487.5,1527.5,1597.5,1807.5,2103.6312762166617
classic_elo,2012-09,187074,1055.5203553466345,1327.5,1417.5,1452.5,1487.5,1527.5,1597.5,1807.5,2117.5646056856353
classic_elo,2012-10,188463,1052.181737309087,1322.5,1412.5,1452.5,1487.5,1527.5,1602.5,1812.5,2117.5646056856353
classic_elo,2012-11,190357,1041.7562962726338,1322.5,1412.5,1452.5,1487.5,1527.5,1602.5,1812.5,2124.7322069163406
classic_elo,2012-12,192314,1028.1437660031393,1322.5,1412.5,1452.5,1487.5,1527.5,1602.5,1812.5,2124.7322069163406
classic_elo,2013-01,194095,1025.8631371273564,1322.5,1412.5,1452.5,1487.5,1527.5,1602.5,1812.5,2124.7322069163406
classic_elo,2013-02,195949,1033.314101629436,1322.5,1412.5,1452.5,1487.5,1527.5,1602.5,1817.5,2151.734040899863
classic_elo,2013-03,198152,1041.1839435016243,1322.5,1412.5,1452.5,1487.5,1527.5,1602.5,1817.5,2189.4581721881937
classic_elo,2013-04,200710,1041.1839435016243,1322.5,1412.5,1452.5,1487.5,1527.5,1602.5,1817.5,2189.4581721881937
classic_elo,2013-05,203414,1041.1839435016243,1322.5,1412.5,1452.5,1487.5,1527.5,1602.5,1817.5,2147.464328901863
classic_elo,2013-06,206152,1041.1839435016243,1317.5,1412.5,1452.5,1487.5,1527.5,1602.5,1817.5,2142.7236894042653
classic_elo,2013-07,208061,1030.8339744755053,1317.5,1412.5,1452.5,1487.5,1527.5,1602.5,1817.5,2142.7236894042653
classic_elo,2013-08,210261,1025.3188688657476,1317.5,1412.5,1452.5,1487.5,1527.5,1602.5,1822.5,2142.1591214534014
classic_elo,2013-09,212122,1025.3188688657476,1317.5,1412.5,1452.5,1487.5,1527.5,1602.5,1822.5,2142.1591214534014
classic_elo,2013-10,214079,1008.1811841380879,1317.5,1412.5,1452.5,1487.5,1527.5,1607.5,1822.5,2160.66886156871
classic_elo,2013-11,216091,1008.1811841380879,1317.5,1412.5,1452.5,1487.5,1527.5,1607.5,1827.5,2160.66886156871
classic_elo,2013-12,218026,995.9937888187455,1317.5,1412.5,1452.5,1487.5,1527.5,1607.5,1827.5,2168.6456839529496
classic_elo,2014-01,220322,989.8445670966702,1317.5,1407.5,1452.5,1487.5,1527.5,1607.5,1827.5,2168.6456839529496
classic_elo,2014-02,222921,987.6802466141307,1317.5,1407.5,1452.5,1487.5,1532.5,1607.5,1827.5,2176.144034864935
classic_elo,2014-03,224736,989.8445670966702,1317.5,1407.5,1452.5,1487.5,1532.5,1607.5,1827.5,2190.153754908582
